"r.id","r.title","r.tally_ayes","r.progress_report","r.tally_nays","r.status","r.requested"
0.0,[Reject] Supposed to be Hello World,"77354101000000","","27760164071780128",Rejected,-1
1.0,OpenCommunity Governance,"22339790097015351","","32497064934603119",Rejected,"0"
2.0,Proposal,"3780598396858491","","17616513027568972",Rejected,"64540000000000"
3.0,[Whitelisted Caller] Referendum #3: Upgrade Bridge Hub to v9420,"858508222456566661","","0",Executed,-1
4.0,PolkaWorld Ops and Maintenance proposal：2023.6 - 2023.8,"25284448001554699","","8001194652342790",Executed,"168230000000000"
5.0,KILT Decentralized Identity Provider (DIP) - Polkadot Medium Spender Proposal,"96485356831129194","","28598256206017633",Executed,"614770000000000"
6.0,Saturn Gateway - A Multichain Multisig Application for the Polkadot Ecosystem,"20746860709937220","","6372653748057142",Executed,"754350000000000"
7.0,Nomination Pool Incentives - Fixing an issue with Motion 339,"26780855293575159","","3175708033617394",Executed,"0"
8.0,"Nova Wallet 4th Proposal: Multistaking dashboard, Staking Nomination Pools, WalletConnect v2, New Assets tab UI, Community Requested Features, Reimbursement for delivered features","62538267582481156","","4290289145927421",Executed,"1200262600000000"
9.0,Fix HostConfiguration,"364012068992060655","","202645000000000",Executed,-1
10.0,Polkashots.io Cloud Costs January-April 2023,"7861697141885780","","27632835842649184",Rejected,"39366900000000"
11.0,Restructuring of Polkadot Brasil,"183331000000000","","33896650673079364",Rejected,-1
12.0,Aibot proposal：June 2023 - August 2023,"811005000000000","","32008527298340775",TimedOut,"436631070000000"
13.0,"Subsquare and dotreasury new features development plan including governance statistics, dotreasury dark mode, etc","33780268606831022","","3751430475345054",Executed,"369690000000000"
14.0,Encode Club Tranches 2 and 3,"23745905707282095","","7012653519029213",Executed,"267659900000000"
15.0,Subsquid - Public data indexing Infrastructure for Polkadot and Kusama (Q1 2023),"26489043984573217","","8463352475345054",Executed,"498800000000000"
16.0,A Common Ledger App Compatible With All Polkadot And Kusama Parachains [ retroactive funding for development ],"41127847833038565","","72508126331530932",Rejected,"684790000000000"
17.0,Privacy Sidechains for all Substrate- Based Chains,"6365292273782742","","21856371675414241",Rejected,"87750000000000"
18.0,[Whitelisted Caller] Referendum #18 Polkadot v9430,"660600001152444455","","1001000000000",Executed,-1
19.0,[Small Spender] Stakeworld's polkadot RPC and bootnode infrastructure - Q2 2023,"9547728672961563","","27475928453944872",Rejected,"34690000000000"
20.0,Subscan | Infrastructure Costs of Subscan for Polkadot & Westend & Rococo & Statemint & Rockmine  Networks (from July to December 2022),"32106419696878435","","3902630608000000",Executed,"418677040000000"
21.0,"Ledger Apps Maintenance Proposal (Polkadot, Kusama, Statemine, Statemint)","52067654470260822","","14690693459266593",Executed,"1754190000000000"
22.0,Genesis DAO Ecosystem Integration,"46743090709140324","","44226818476304950",Executed,"775000000000000"
23.0,Polkassembly's Registrar Application,"35044551058423954","","506745001000000",Executed,-1
24.0,Proposal: ink! design security review by OpenZeppelin (treasury proposal 2/2),"15497246118197916","","4762018865112867",Executed,"255330000000000"
25.0,Requesting a return of the submission deposit related to Motion #406.,"19992300560329945","","3229676608000000",Executed,"3827000000000"
26.0,[OpenGov] Return of the bond for the rejection of (Gov1) Treasury Proposal #244 (MVP Workshop),"19722411905529392","","3444056556000000",Executed,"5000000000000"
27.0,Requesting a return of the submission deposit related to Motion #405.,"18248974281974696","","3225537556000000",Executed,"5000000000000"
28.0,"Returning submission deposit for Anagolay proposal, related to rejecting proposal #256 (more info in the desc.)","18328862950795455","","3797909589303516",Executed,"5000000000000"
29.0,Societal - A Homebase for Decentralized Communities,"57168367642569671","","84749084488230844",Rejected,"382490000000000"
30.0,OpenGov submission of Motion 420 - Upstream funding Matrix.org Foundation,"20275842021437098","","80531843389456851",Rejected,"1466280000000000"
31.0,Requesting a return of the submission deposit,"19861217661197702","","3732216924692313",Executed,"5000000000000"
32.0,Milestone 2: Polkadot Hackathon Global Series 2023: Europe Edition,"14216449241235747","","6733868024998750",Executed,"117306850000000"
33.0,Encointer Treasury Proposal,"22649374916216643","","59215089809600474",Rejected,"996720000000000"
34.0,RadiumBlock seeks reimbursement for Polkadot Endpoint Service (Q4 2022 and Q1 2023),"29467120041145629","","38160115749859964",Rejected,"192560000000000"
35.0,Polkadotters – retroactive and future funding of community powered media for Polkadot & Kusama ecosystem in 2022-2024,"36276331003135425","","35203913870923669",Executed,"147460000000000"
36.0,OneBlock The 2023 Polkadot Summer Hackathon proposal,"13123613451304131","","11912278111136080",Executed,"697860000000000"
37.0,(Big Tipper) Small Funding for KryptosChain Media,"11843794564274506","","6247266057113309",Executed,"9324500000000"
38.0,(Small tipper) Funding for AnimatedCrypto channel ,"953261830414097","","8016404259086589",Rejected,"1200000000000"
39.0,Next revision of increasing nomination pool limits & commission,"19265122894038625","","6346053660649953",TimedOut,-1
40.0,Pinknode Public Endpoint for Polkadot in Q4 2022,"5355864422059607","","25963066438481693",Rejected,"42461900000000"
41.0,Notifi Vote RE: #1767 Notifi - Communication & Notification Tooling for Polkadot's Broader Ecosystem,"5784791538880360","","19620825150987648",Rejected,"729166667000000"
42.0,[Please reject] Erroneous Referendum Submission,"221000000000000","","34804900550859643",Rejected,"0"
43.0,Polkadot Relayers Incubator 2023,"17365545192428600","","11408921232540028",Executed,"352775350000000"
44.0,Treasury proposal for New Product Development & OpenGov Deployment,"31748497778280492","","812305637913073",Executed,"365380000000000"
45.0,Funded High Performance Public Infrastructure for the entire Polkadot Ecosystem (OnFinality),"28811648922535486","","27496824816202084",Executed,"47471290000000"
46.0,"Polkadot Hubs - Initiative case-study, education and support for future hubs (12 months period)","2586480611109425","","35029054999985552",Rejected,"79150000000000"
47.0,Approve Polkadot Assurance Legion Bounty,"113346655058570826","","32952442838937347",Executed,-1
48.0,Part 1 of 2 request for 1100 DOT deposit reimbursement,"9228710506156298","","1026656052000000",Executed,"1000000000000"
49.0,Part 2 of 2 request for 1100 DOT deposit reimbursement,"8048778936606903","","1086528660000000",Executed,"10000000000000"
50.0,"GovernGoofed, a proposal to tackle 3 of the most challenging issues in OpenGov V1","3977157100000000","","7896933307780197",Rejected,"2500000000000"
51.0,Open HRMP Channels Between System Parachains,"624433246983710778","","1000000000000",Executed,-1
52.0,DAO_Terminal: Enhancing User Involvement in Polkadot Governance,"4952698360762875","","15935728219458836",Rejected,"39560000000000"
53.0,[Auction Admin] Referendum #53: Start an Auction,"1638817829889826837","","2005000000000",Executed,-1
54.0,"25-minute contextual primer on Polkadot 2.0","25889256659325605","","503132000000000",Executed,"400000000000"
55.0,[TAKE TWO] Next revision of increasing nomination pool limits & commission,"615742015755117121","","114133152069446",Executed,-1
56.0,Canceling Remaining Auctions and Introducing New Ones,"397766500784273704","","61000000000000",Executed,-1
57.0,"Rust, Substrate, ink! technical content for rust developers.","10261270465299801","","1145822000000000",Executed,"2340000000000"
58.0,[Whitelisted Caller] Referendum #58: Increase Parachain Validators to 250,"612421466543156146","","0",Executed,-1
59.0,[Reject] incorrect preimage,"1220180659236606","","25573448346599921",TimedOut,-1
60.0,A small tip for media representation,"441826993408617","","11162390921566642",TimedOut,-1
61.0,A small chatbot for the polkadot wiki,"3818416537766811","","9261391994785390",TimedOut,"2500000000000"
62.0,Metadata for offline signers,"48475974565834842","","3629718876054939",Executed,"1106937000000000"
63.0,"vote no pls , I missed preimage :(","83351000000000","","29700041748762987",TimedOut,-1
64.0,Treasury Proposal by 727.ventures: Polkadot Wink,"2208639527388797","","23031595566101545",Rejected,"280785690000000"
65.0,"","0","","13882291670286861",TimedOut,"970000000000000"
66.0,"","241500000000","","13965711542439436",TimedOut,"970000000000000"
67.0,"Security Audit of trustless Ethereum 2.0 Light Client, developed as a Substrate Pallet","2846326898000000","","120363645127768594",Rejected,"970000000000000"
68.0,UI & Front-end for Asset Conversion pallet (referenda68) - Project Status Update - Delivery Completed,"35611784203613357","","15893903391745488",Executed,"178200000000000"
69.0,"[FAULTY PREIMAGE, PLEASE REJECT] A Polkadot Ecosystem App Store","246600000000000","","9742963309908297",TimedOut,-1
70.0,Finsig SDK for Apple Products,"9246706679387339","","14080935523684309",Rejected,"121170000000000"
71.0,Wasm Smart Contracts Bounty #19,"48803596552017290","","5587314000000000",Executed,-1
72.0,A Polkadot Ecosystem App Store,"4006809321555039","","1735997699847809",Executed,"1000000000000"
73.0,Rejecting Gov1.0 Treasury Proposals and Facilitating Bond Reimbursement where applicable,"564031890804700859","","378395000000000",Executed,-1
74.0,"","84350000000000","","17041933533758194",TimedOut,-1
75.0,Polkashots.io Cloud Costs January-April 2023,"7010865995730502","","22713548032670961",Rejected,"9990000000000"
76.0,canceling,"5866001000000","","49676445228978306",Rejected,-1
77.0,Smoldot development financing Q3/2023,"62100491970519936","","1602706872152575",Executed,"151390000000000"
78.0,Blockops Network - Grant Proposal for the development of One-Click Parachain Deployment,"5366983342410372","","40163045886344912",Rejected,"299460000000000"
79.0,SmallTipper,"27701764786455233","","170125152700000",Executed,-1
80.0,deleted,"69212000000000","","32662511927568732",Rejected,-1
81.0,Bounty to back Apillon Web3 development platform as a common good infrastructure,"386813625089124152","","598074401446355119",Rejected,-1
82.0,OnFinality High Performance Public Infrastructure (Q2 2023),"75740056491518219","","50830035840209689",Executed,"124550830000000"
83.0,SmallTipper,"27325114242491022","","1050001000000",Executed,-1
84.0,[Staking Admin] Referendum #84: Update System Collator Sets and Configurations,"38128233020713116","","448536472740836",Executed,-1
85.0,DOT holders 🤝 & The Kusamarian 🤖❤️,"449245771201547774","","119986483729887085",Executed,"592035800000000"
86.0,"Substrate, XCM rust technical practice videos.","3328892860128057","","12571766143445290",Rejected,"9900000000000"
87.0,"","108640000000","","85970573527239729",Rejected,-1
88.0,OnFinality Unified NFT API,"13176341273362057","","107670764503468325",Rejected,"142690710000000"
89.0,Proposal: Artificial Intelligence for security monitoring on a network level ,"121076032700000","","23436821766621213",TimedOut,"66860000000000"
90.0,Gosemble Phase 2 - a Framework for building Substrate-compatible Runtimes in Go (Parachains & Solochains),"79084153300925284","","59734790920436939",Executed,"639160000000000"
91.0,Specialized Learning Path of Polkadot Ecosystem for Devs,"5751000000000","","17526817341110250",TimedOut,"316120000000000"
92.0,"Wrong $DOT amount, please nay","31717152700000","","16914197090268606",TimedOut,"36686760000000000"
93.0,Infrastructure Funding for Polkadot Asset Hub - Migration of Kusama NFTs,"77259024031301046","","12024327064286621",Executed,"366860000000000"
94.0,SmallTipper,"23746405356330146","","65372608000000",Executed,-1
95.0,Small tip for Polkadot community activation in Finland,"22807484364558203","","2236375207200000",Executed,"500000000000"
96.0,=Artificial Intelligence for security monitoring on a network level ,"2417789867892313","","85644535792657481",Rejected,"66860000000000"
97.0,Milestone 2 and 3 Payment Request – YieldBay: Polkadot’s yield farming dashboard,"40396519418879169","","24209720955897357",Executed,"153757450000000"
